name,provider,provinces,basis,provider_type,eligibility_raw,income_cap_pkr,min_merit_pct,coverage,source_url
Rawalpindi Medical University (RMU),No internal own-funded scheme - Punjab Govt merit + Local Bodies + HEC/Ehsaas/PEEF (all external),Not specified,Other,Government,Based on professional-exam results,,,Fixed annual stipends; free housing for some low-income students (external funds),rmur.edu.pk/scholarships
"King Edward Medical University (KEMU), Lahore",KEMU Need-Based Scholarship for MBBS Students (own SOPs) + Notice of Thanks Scholarship (1st-yr MBBS),Not specified,Need + Merit,Government,Published SOPs (2020); distinct from HEC/Ehsaas,,,Not fully itemized,kemu.edu.pk/scholarships
"University of Health Sciences (UHS), Lahore / Allama Iqbal Medical College",UHS Merit Scholarship + UHS Need-Based Scholarship (own-funding vs HEC pass-through unclear),Not specified,Other,Government,Not fully specified,,,Not clearly specified,uhs.edu.pk (scholarships section)
"Nishtar Medical University (NMU), Multan","Merit + need-based aid referenced; several named schemes are alumni/donor-run, not university-treasury",Not specified,Other,Government,Need basis with acceptable grades,,,Not itemized,nmu.edu.pk
Ayub Medical College / Abbottabad University of Science & Technology (AUST),AUST: 'various scholarships and financial support' + laptop scheme. Ayub Medical College: govt/HEC-based only,Not specified,Other,Government,Not itemized,,,Not itemized,aust.edu.pk
"Hazara University, Mansehra",Merit & Need-Based Scholarships + 50% Tuition Scholarship in selected programs (advertised),Not specified,Other,Government,Advertised on homepage; no dedicated policy page found,,,Up to 50% tuition in selected programs,hu.edu.pk
University of Haripur (UOH),Financial Aid & Development Office - includes explicit 'university-funded initiatives',Not specified,Other,Government,Multiple scholarship/financial-assistance programs,,,"Rs 193M to 4,631 students (2022-2025) cited - not independently corroborated",uoh.edu.pk/scholarships
Kohat University of Science and Technology (KUST),KUST Merit Scholarship + KUST Endowment Fund Scholarship (own endowment) + sibling concessions,Not specified,Need + Merit,Government,"Merit: 70% marks or SGPA≥3.00, top 20% of class. Endowment: for talented but financially deprived/disabled students",,70,Merit scholarship for ~20% of qualifying students/class; endowment covers deprived students,kust.edu.pk
"Gomal University, Dera Ismail Khan",No internal own-funded scheme - evidence indicates Ehsaas/HEC need-based administration,Not specified,Other,Government,Not documented,,,Not documented,gu.edu.pk
"Islamia College University, Peshawar (ICUP)","~18 government/NGO scholarships listed (FEF, HEC, Senior Alumni Assoc, Zakat, Bait-ul-Mal, Fauji Foundation) - no distinct university-treasury scheme",Not specified,Other,NGO / Foundation,Per external scheme,,,Per external scheme,icp.edu.pk
"University of Poonch Rawalakot (UPR), AJK",Student Welfare Fund (internal) via Directorate of Student Financial Assistance & University Advancement + Ehsaas/HEC/HBL (external),Not specified,Other,Government,DSFA mandate covers Govt/HEC/UPR/donor schemes,,,Not itemized for internal Welfare Fund,upr.edu.pk
"Mirpur University of Science and Technology (MUST), AJK","Students Assistance Centre (SAC) - own coordinating office, but documented scholarships predominantly external (HEC, govt, private donors)",Not specified,Other,Private,Per external scheme,,,Per external scheme,must.edu.pk/students-assistance-centre-sac
Women University Multan (WUM),WUM Students Welfare Fund (institutional) + Kinship Fee Refund + Hafiz-e-Quran Fee Refund + Orphan/Poor-Student Refund (VC's disposal),Not specified,Need-based,Government,"Monthly income ≤Rs 45,000; merit admission required; excludes distance/evening/self-finance. Kinship: 1st sister 50%, 2nd sister 25%",45000,50,"Monthly stipend Rs 3,000-5,000; 25-50% kinship refunds; full fee refund for orphans/Hafiz-e-Quran (2 students/yr)",wum.edu.pk/student-financial-aid-office-sfao
"Lasbela University of Agriculture, Water and Marine Sciences (LUAWMS)","No internal own-funded scheme - BEEF, Bait-ul-Mal, PEF/Zakat, NEST, USAID all external",Not specified,Other,Government,Per external scheme (BEEF: top-10 CGPA≥3.00),,,Per external scheme,luawms.edu.pk/Scholarships
"University of Turbat (UOT), Balochistan","No internal own-funded scheme - HEC Need-Based, PBM, BEEF, PM Fee Reimbursement + philanthropist-sponsored (Kareem Dashti, Meer Ilahi Bakhsh)",Not specified,Other,Government,Per external/donor scheme,,,Not itemized,uot.edu.pk/offices/financial-aid-office
"Balochistan University of IT, Engineering & Management Sciences (BUITEMS), Quetta",Merit + need-based scholarships referenced in admission structure; endowment reported at Rs 30M,Not specified,Other,Government,Merit from FSc (60%) + entry test,,60,Not itemized,buitms.edu.pk
"Ghazi University, Dera Ghazi Khan (GUDGK)","No internal own-funded scheme - PEEF, CM Honhaar, HEC Need-Based, PBM, KSA scholarships all external/govt",Not specified,Other,Government,Per external scheme,,,Per external scheme,gudgk.edu.pk/scholarships
"University of Education (UE), Lahore","University of Education Merit-Based Scholarship (UEMBS) + UE Need-Based Scholarship (own funds, Rs 22.0M allocated)",Not specified,Need + Merit,Government,"Merit: top 3/program/campus/shift on admission merit/CGPA. Need: 10% of total students/program, income threshold applied",,10,UEMBS: 100%/75%/50% tuition for pos 1/2/3; Need-based to 10% of students/program; Rs 22.0M allocated for merit,ue.edu.pk/fao/scholarships
Virtual University of Pakistan (VU),VU Need-Based Scholarships + Merit-Based Scholarships (Student Scholarship Regulations 2015) + Shuhada fee concession,Not specified,Need + Merit,Government,"Need-based limited to local students not receiving other aid, no failed/repeated courses",,,Partial/full remission of tuition fee only (other dues payable); valid 1 semester at a time,vu.edu.pk/pages/VUScholarships
Allama Iqbal Open University (AIOU),AIOU Fee-Concession Schemes incl. 'Scholarship for Communities' (SSF-106/Student Support Fund) + disability waivers + Matric Free Education Plan,Not specified,Need-based,Government,"For disabled, orphans, children of Shuhada/prisoners, transgender; monthly income threshold for needy students",,,Fee concession 35%-100%; full fee waiver (except admission/registration) for completely blind persons,aiou.edu.pk (SSF-106 form)
"Institute of Space Technology (IST), Islamabad",IST Merit Scholarship + IST Need-Based Scholarship (own funds) + interest-free loans,Not specified,Need + Merit,Government,"Merit: top students per discipline/batch on admission merit + SGPA/CGPA. One scholarship (merit or need, higher) at a time",,,Top 3 students per discipline/program (merit); need-based from IST's own funds,ist.edu.pk/admission
"National Textile University (NTU), Faisalabad","NTU Merit Scholarship (every semester) + internal need-based scholarships (Iqbal/Bashir Begum, Batool Muzaffar, CHT - donor-endowed, NTU-administered)",Not specified,Need + Merit,Government,"Merit: 1st/2nd/3rd position, CGPA≥3.50. Need: CGPA thresholds + family-income assessment by Institutional Scholarship Award Committee",,,Merit each semester; need-based tuition support; ~Rs 103M disbursed since 2003 (NTU self-report),ntu.edu.pk/financial-aid-scholarship
"Pak-Austria Fachhochschule Institute of Applied Sciences & Technology (PAF-IAST), Haripur",PAF-IAST Need-Based Scholarship + Semester Merit Scholarship + Talent Award + Kinship Fee Waiver,Not specified,Need + Merit,Government,Merit: prior-semester GPA/position. Need: family financial assessment. Kinship: for siblings,,,"'16 Scholarship Categories, Rs 210.9M PAF-IAST Funded, 902 PAF-IAST Funded Students'; kinship up to 50% for one sibling",paf-iast.edu.pk/scholarships
"Capital University of Science and Technology (CUST), Islamabad",CUST Merit-Based Scholarships + Need-Based Scholarships + alumni/disabled/kinship fee waivers,Not specified,Need + Merit,Private,"Merit tied to FA/FSc marks (100% board toppers, then 75/50/25/12.5% on 80/75/70%), continuation tied to CGPA (3.95+ for 100%)",,100,Up to 100% tuition; CUST 'distributes annually over 500 million' under various scholarship schemes (self-report),cust.edu.pk/scholarship
"University of Wah (UW), Wah Cantt",UW Merit-Based Scholarship + UW Need-Based Financial Assistance (incl. Kinship/POF Employees/UW Employees) + 10% fee concession (MDC completers),Not specified,Need + Merit,Private,"Merit on class size/GPA (position holders); need-based min GPA 2.50, no F/D grade",,,"80%/40%/30% tuition for pos 1/2/3; >Rs 110M distributed since 2010 to ~6,000 students (self-report)",admissions.uow.edu.pk/admissions/Scholarships
"Institute of Business and Technology (IBT/BIZTEK), Karachi",Own merit + need-based scholarships + installment plans (NOTE: institution now upgraded to Ilma University),Not specified,Need + Merit,Private,Not fully captured,,,Not itemized,ibt.edu.pk / ilmauniversity.edu.pk
"Newports Institute of Communications and Economics (NICE), Karachi",Merit Scholarship (top-3 position holders) + Need-Based/Financial Assistance + extracurricular/talent + Hafiz-e-Quran + sibling discount + work-study,Sindh,Need + Merit,Private,Income assessment for need track,,,Up to 50% tuition-fee waiver (merit and need tracks),newports.edu.pk/scholarships
"Indus University, Karachi",Merit & Need-Based Scholarships - top 3/dept with GPA≥3.7; board toppers 100%; 50% for ≥80% intermediate marks; sibling/early-bird discounts,Not specified,Need + Merit,Private,GPA/intermediate marks thresholds,,,100% (board toppers); 50% (≥80% marks); up to 50% need-based,indus.edu.pk
"Jinnah University for Women (JUW), Karachi",Merit Scholarship (GPA 4.0) + Financial Assistance Scholarship (need-cum-merit) + sibling concession,Not specified,Need + Merit,NGO / Foundation,Merit: GPA 4.0 for 50% next 2 semesters. Need: financial constraint + min 2.75 GPA,,50,50% tuition (merit + sibling); need-based variable; renewable every 2 semesters,juw.edu.pk/financial-assistance
"Times Institute / Times University, Multan","Own need-based + merit-based scholarships; BS stipend ~Rs 4,000/month; 40% concession on MS/MPhil first fee",Not specified,Need + Merit,Private,Retention requires ≥75% exam result and ≥75% attendance,,75,"Rs 4,000/month (BS stipend); 40% concession (MS/MPhil)",tum.edu.pk/admissions/scholarships
"Iqra National University (INU), Peshawar","INU merit-based waivers (up to 30% tuition), need-based aid, kinship discounts",Not specified,Need + Merit,Private,Distinct campus from Iqra University Karachi (already in your list),,,Up to 30% tuition (merit),inu.edu.pk
"City University of Science and Information Technology (CUSIT), Peshawar","Internal scholarship scheme - need-based (20-50%), 30% PMEI alumni/families, 50% female students (select programs), merit-based",Not specified,Need + Merit,Private,Categories confirmed on official site; % partly corroborated via secondary source,,,Need 20-50%; PMEI-affinity 30%; female-specific 50%,cityuniversity.edu.pk
"Dadabhoy Institute of Higher Education (DIHE), Karachi",Merit scholarships + need-based financial help ('no student denied admission due to financial need') + installment plans,Sindh,Need + Merit,NGO / Foundation,Academic performance (merit); financial need (need),,,Not itemized,dadabhoy.edu.pk
"Government Sadiq College Women University (GSCWU), Bahawalpur","No internal own-funded scheme - MORA Ushr/Zakat, PM Fee Reimbursement, PEEF, HEC Merit & Need-Based all government/external",Not specified,Other,Government,Per external scheme,,,Per external scheme,gscwu.edu.pk
